"date","C_us_mean","C_us_q.025","C_us_q.975","C_us_real","C_us-cn_mean","C_us-cn_q.025","C_us-cn_q.975","C_us-kr_mean","C_us-kr_q.025","C_us-kr_q.975"
"2020-01-23",1,1,1,1,1,1,1,1,1,1
"2020-01-24",1,1,1,1,1,1,1,1,1,1
"2020-01-25",2,2,2,2,2,2,2,2,2,2
"2020-01-26",2,2,2,2,2,2,2,2,2,2
"2020-01-27",5,5,5,5,5,5,5,5,5,5
"2020-01-28",5,5,5,5,5,5,5,5,5,5
"2020-01-29",5,5,5,5,5,5,5,5,5,5
"2020-01-30",5,5,5,5,5,5,5,5,5,5
"2020-01-31",6,6,6,6,6,6,6,6,6,6
"2020-02-01",7,7,7,7,7,7,7,7,7,7
"2020-02-02",8,8,8,8,8,8,8,8,8,8
"2020-02-03",11,11,11,11,11,11,11,11,11,11
"2020-02-04",11,11,11,11,11,11,11,11,11,11
"2020-02-05",11,11,11,11,11,11,11,11,11,11
"2020-02-06",12,12,12,12,12,12,12,12,12,12
"2020-02-07",12,12,12,12,12,12,12,12,12,12
"2020-02-08",12,12,12,12,12,12,12,12,12,12
"2020-02-09",12,12,12,12,12,12,12,12,12,12
"2020-02-10",12,12,12,12,12,12,12,12,12,12
"2020-02-11",13,13,13,13,13,13,13,13,13,13
"2020-02-12",13,13,13,13,13,13,13,13,13,13
"2020-02-13",14,14,14,14,14,14,14,14,14,14
"2020-02-14",15,15,15,15,15,15,15,15,15,15
"2020-02-15",15,15,15,15,15,15,15,15,15,15
"2020-02-16",15,15,15,15,15,15,15,15,15,15
"2020-02-17",15,15,15,15,15,15,15,15,15,15
"2020-02-18",15,15,15,15,15,15,15,15,15,15
"2020-02-19",15,15,15,15,15,15,15,15,15,15
"2020-02-20",15,15,15,15,15,15,15,15,15,15
"2020-02-21",15,15,15,15,15,15,15,15,15,15
"2020-02-22",35,35,35,35,35,35,35,35,35,35
"2020-02-23",35,35,35,35,35,35,35,35,35,35
"2020-02-24",35,35,35,35,35,35,35,35,35,35
"2020-02-25",53,53,53,53,53,53,53,53,53,53
"2020-02-26",53,53,53,53,53,53,53,53,53,53
"2020-02-27",59,59,59,59,59,59,59,59,59,59
"2020-02-28",59,59,59,59,59,59,59,59,59,59
