"date","I_0","I_1+","R_mean","R_q.025","R_q.975"
"2020-01-25",2,0,NA,NA,NA
"2020-01-26",0,0,NA,NA,NA
"2020-01-27",0,2,NA,NA,NA
"2020-01-28",0,0,NA,NA,NA
"2020-01-29",0,0,NA,NA,NA
"2020-01-30",0,0,NA,NA,NA
"2020-01-31",0,7,NA,NA,NA
"2020-02-01",0,1,NA,NA,NA
"2020-02-02",0,3,NA,NA,NA
"2020-02-03",0,0,NA,NA,NA
"2020-02-04",0,1,NA,NA,NA
"2020-02-05",0,2,NA,NA,NA
"2020-02-06",1,4,NA,NA,NA
"2020-02-07",1,0,NA,NA,NA
"2020-02-08",0,0,NA,NA,NA
"2020-02-09",2,1,NA,NA,NA
"2020-02-10",0,0,NA,NA,NA
"2020-02-11",0,1,NA,NA,NA
"2020-02-12",0,0,NA,NA,NA
"2020-02-13",0,0,NA,NA,NA
"2020-02-14",0,0,NA,NA,NA
"2020-02-15",0,0,NA,NA,NA
"2020-02-16",0,1,NA,NA,NA
"2020-02-17",0,1,NA,NA,NA
"2020-02-18",0,1,NA,NA,NA
"2020-02-19",0,20,NA,NA,NA
"2020-02-20",0,53,NA,NA,NA
"2020-02-21",0,100,NA,NA,NA
"2020-02-22",0,142,NA,NA,NA
"2020-02-23",0,256,NA,NA,NA
"2020-02-24",0,161,NA,NA,NA
"2020-02-25",0,214,3.34267946288829,3.13314598523789,3.55889887130063
"2020-02-26",0,284,2.88990382982091,2.72941135529701,3.05491656586432
"2020-02-27",0,505,2.86698005985057,2.73082729554476,3.0063984298878
"2020-02-28",0,571,2.71729858657406,2.60322022989746,2.83378894945274
"2020-02-29",0,813,2.66349252091617,2.56582758796181,2.76295614912912
"2020-03-01",0,586,2.24966947367295,2.17160179536108,2.32909647076177
"2020-03-02",0,476,1.93219673770539,1.86825404304339,1.99720032957182
"2020-03-03",0,600,1.76695008397079,1.71147202440255,1.82330068816683
"2020-03-04",0,516,1.59632200346562,1.54764030965461,1.64574702783408
"2020-03-05",0,438,1.37365957915707,1.33142164278872,1.4165478740991
"2020-03-06",0,518,1.2267856841394,1.18881350865531,1.26534647791369
"2020-03-07",0,483,1.05319076588155,1.01914939473157,1.08778355378386
"2020-03-08",0,367,0.956263712986477,0.924383285503894,0.988677067110112
"2020-03-09",0,248,0.888071240521579,0.857427437107695,0.919245551795736
"2020-03-10",0,131,0.76793105735118,0.739245907019807,0.797154570970367
"2020-03-11",0,242,0.715476029125148,0.687297205730854,0.744213044574065
"2020-03-12",0,114,0.657600147937923,0.629798581710406,0.685993754684112
"2020-03-13",0,110,0.570636166708412,0.543798444852727,0.598111219702644
"2020-03-14",0,107,0.487227498006671,0.461294742776968,0.513859425682036
"2020-03-15",0,76,0.426725623110612,0.401047714870793,0.453189043843985
"2020-03-16",0,74,0.40740534942381,0.380551311686062,0.435161943212353
"2020-03-17",0,84,0.449224087300393,0.418779410607725,0.48072184824304
"2020-03-18",0,84,0.422281825498852,0.390438084409987,0.455356093376629
"2020-03-19",0,93,0.476035975964268,0.439556220811889,0.513949204268473
"2020-03-20",0,239,0.667571737217356,0.620887486824503,0.715924147319982
"2020-03-21",0,147,0.793993335480229,0.739852879098181,0.850018416759974
"2020-03-22",0,98,0.880375543198849,0.821141564393925,0.941643124781041
"2020-03-23",0,64,0.910368513541205,0.848746181982814,0.974119688661486
"2020-03-24",0,76,0.927482941246752,0.86439528993061,0.992761089832386
"2020-03-25",0,100,0.966395890822047,0.901296179452992,1.0337333631214
"2020-03-26",0,104,0.993629588750196,0.92713317944183,1.06239629366267
"2020-03-27",0,91,0.821349427682475,0.760811350780364,0.88417197256633
"2020-03-28",0,146,0.835642491795496,0.774006530848381,0.899606092485016
"2020-03-29",0,105,0.878601075473311,0.814121238644631,0.945503277525627
"2020-03-30",0,78,0.927927773059171,0.860498464348,0.997864355173397
"2020-03-31",0,125,1.01712255608535,0.945622251506217,1.09119160258807
"2020-04-01",0,101,1.02775849875949,0.955557765246001,1.1025513793939
"2020-04-02",0,89,1.00353342703089,0.932332876615571,1.07731660444986
